Title
Annual Summary Report 

ParkName,Year,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,TotalRecreationVisitors,TotalNonRecreationVisitors,TotalRecreationHours,TotalNonRecreationHours,TotalConcessionerLodging,TotalConcessionerCamping,TotalTentCampers,TotalRVCampers,TotalBackcountry,TotalNonRecreationOvernightStays,TotalMiscellaneousOvernightStays
Abraham Lincoln Birthplace NHP,2007,"202,950",0,"202,950",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2009,"221,111",0,"221,111",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2010,"177,122",0,"177,122",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2012,"169,515",0,"169,515",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2013,"163,928",0,"163,928",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2014,"241,264",0,"241,264",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2015,"148,605",0,"148,605",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2016,"252,495",0,"252,495",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2018,"260,964",0,"260,964",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2019,"238,226",0,"238,226",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2020,"228,141",0,"228,141",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2022,"265,707",0,"265,707",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Abraham Lincoln Birthplace NHP,2024,"249,166",0,"249,166",0,0,0,0,0,0,0,0,"5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2007,"2,202,228","47,100","11,331,597","47,100",0,0,"98,586","23,280","1,091",0,"7,352","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2009,"2,227,698","47,100","11,447,560","47,100",0,0,"105,042","22,755","1,037",0,"7,212","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2010,"2,504,208","47,100","12,827,516","47,100",0,0,"121,287","28,821",974,0,"8,549","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
Acadia NP,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343","5,363,811,965","2,937,028,920","23,411,631,384","1,562,210,908","55,864,251","23,554,027","58,173,399","40,780,056","33,194,414","2,233,670","32,638,800"
