Month,Others,Recreation Visitors,Visit Code,Visit Name,Year
1,0,4960,abli,abraham lincoln birthplace nhp,2007
2,0,5877,abli,abraham lincoln birthplace nhp,2007
3,0,9868,abli,abraham lincoln birthplace nhp,2007
4,0,17900,abli,abraham lincoln birthplace nhp,2007
5,0,21277,abli,abraham lincoln birthplace nhp,2007
6,0,29353,abli,abraham lincoln birthplace nhp,2007
7,0,37586,abli,abraham lincoln birthplace nhp,2007
8,0,18805,abli,abraham lincoln birthplace nhp,2007
9,0,24115,abli,abraham lincoln birthplace nhp,2007
10,0,16434,abli,abraham lincoln birthplace nhp,2007
11,0,10223,abli,abraham lincoln birthplace nhp,2007
12,0,6552,abli,abraham lincoln birthplace nhp,2007
1,0,5829,abli,abraham lincoln birthplace nhp,2008
2,0,6911,abli,abraham lincoln birthplace nhp,2008
3,0,10720,abli,abraham lincoln birthplace nhp,2008
4,0,17829,abli,abraham lincoln birthplace nhp,2008
5,0,26295,abli,abraham lincoln birthplace nhp,2008
6,0,33817,abli,abraham lincoln birthplace nhp,2008
7,0,29225,abli,abraham lincoln birthplace nhp,2008
8,0,22166,abli,abraham lincoln birthplace nhp,2008
9,0,21765,abli,abraham lincoln birthplace nhp,2008
10,0,13747,abli,abraham lincoln birthplace nhp,2008
11,0,8013,abli,abraham lincoln birthplace nhp,2008
12,0,4087,abli,abraham lincoln birthplace nhp,2008
1,0,4199,abli,abraham lincoln birthplace nhp,2009
2,0,7313,abli,abraham lincoln birthplace nhp,2009
3,0,11576,abli,abraham lincoln birthplace nhp,2009
4,0,23545,abli,abraham lincoln birthplace nhp,2009
5,0,23776,abli,abraham lincoln birthplace nhp,2009
6,0,34697,abli,abraham lincoln birthplace nhp,2009
7,0,39696,abli,abraham lincoln birthplace nhp,2009
8,0,27303,abli,abraham lincoln birthplace nhp,2009
9,0,26285,abli,abraham lincoln birthplace nhp,2009
10,0,11521,abli,abraham lincoln birthplace nhp,2009
11,0,7148,abli,abraham lincoln birthplace nhp,2009
12,0,4052,abli,abraham lincoln birthplace nhp,2009
1,0,3878,abli,abraham lincoln birthplace nhp,2010
2,0,5167,abli,abraham lincoln birthplace nhp,2010
3,0,8054,abli,abraham lincoln birthplace nhp,2010
4,0,18178,abli,abraham lincoln birthplace nhp,2010
5,0,19290,abli,abraham lincoln birthplace nhp,2010
6,0,24308,abli,abraham lincoln birthplace nhp,2010
7,0,29269,abli,abraham lincoln birthplace nhp,2010
8,0,21939,abli,abraham lincoln birthplace nhp,2010
9,0,22223,abli,abraham lincoln birthplace nhp,2010
10,0,14265,abli,abraham lincoln birthplace nhp,2010
11,0,6467,abli,abraham lincoln birthplace nhp,2010
12,0,4084,abli,abraham lincoln birthplace nhp,2010
