activity,activities_code,states,activities_name
arts and culture,acad,me,acadia national park
arts and culture,afbg,ny,african burial ground national monument
arts and culture,agfo,ne,agate fossil beds national monument
arts and culture,alfl,tx,alibates flint quarries national monument
arts and culture,alka,hi,ala kahakai national historic trail
arts and culture,alpo,pa,allegheny portage railroad national historic site
arts and culture,amme,mp,american memorial park
arts and culture,anjo,tn,andrew johnson national historic site
arts and culture,apco,va,appomattox court house national historical park
arts and culture,arch,ut,arches national park
arts and culture,arpo,ar,arkansas post national memorial
arts and culture,asis,"md,va",assateague island national seashore
arts and culture,azru,nm,aztec ruins national monument
arts and culture,band,nm,bandelier national monument
arts and culture,beol,co,bent's old fort national historic site
arts and culture,bica,"mt,wy",bighorn canyon national recreation area
arts and culture,bicy,fl,big cypress national preserve
arts and culture,biho,mt,big hole national battlefield
arts and culture,biso,"ky,tn",big south fork national river and recreation area
arts and culture,blri,"nc,va",blue ridge parkway
arts and culture,boha,ma,boston harbor islands national recreation area
arts and culture,bowa,va,booker t washington national monument
arts and culture,cacl,ny,castle clinton national monument
arts and culture,cagr,az,casa grande ruins national monument
arts and culture,cahi,dc,capitol hill parks
arts and culture,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
arts and culture,care,ut,capitol reef national park
arts and culture,cari,la,cane river creole national historical park
arts and culture,carl,nc,carl sandburg home national historic site
arts and culture,cebr,ut,cedar breaks national monument
arts and culture,cham,tx,chamizal national memorial
arts and culture,chri,vi,christiansted national historic site
arts and culture,chsc,ar,little rock central high school national historic site
arts and culture,colo,va,colonial national historical park
arts and culture,cuva,oh,cuyahoga valley national park
arts and culture,cwdw,"dc,md,va",civil war defenses of washington
arts and culture,dena,ak,denali national park and preserve
arts and culture,dewa,"nj,pa",delaware water gap national recreation area
arts and culture,elca,"nm,tx",el camino real de tierra adentro national historic trail
arts and culture,elma,nm,el malpais national monument
arts and culture,elmo,nm,el morro national monument
arts and culture,euon,ca,eugene o'neill national historic site
arts and culture,feha,ny,federal hall national memorial
arts and culture,fiis,ny,fire island national seashore
arts and culture,foda,tx,fort davis national historic site
arts and culture,fodu,dc,fort dupont park
arts and culture,fomc,md,fort mchenry national monument and historic shrine
arts and culture,fopo,ca,fort point national historic site
arts and culture,fora,nc,fort raleigh national historic site
arts and culture,fost,ny,fort stanwix national monument
arts and culture,foth,dc,ford's theatre national historic site
arts and culture,fous,"mt,nd",fort union trading post national historic site
arts and culture,fova,"or,wa",fort vancouver national historic site
arts and culture,gewa,va,george washington birthplace national monument
arts and culture,glac,mt,glacier national park
arts and culture,glba,ak,glacier bay national park and preserve
arts and culture,glec,md,glen echo park
arts and culture,goga,ca,golden gate national recreation area
arts and culture,grca,az,grand canyon national park
arts and culture,grko,mt,grant-kohrs ranch national historic site
arts and culture,grpo,mn,grand portage national monument
arts and culture,grsa,co,great sand dunes national park and preserve
arts and culture,grsm,"nc,tn",great smoky mountains national park
arts and culture,grte,wy,grand teton national park
arts and culture,guco,nc,guilford courthouse national military park
arts and culture,gwca,mo,george washington carver national monument
arts and culture,gwmp,"dc,md,va",george washington memorial parkway
arts and culture,hagr,ny,hamilton grange national memorial
arts and culture,hamp,md,hampton national historic site
arts and culture,havo,hi,hawaii volcanoes national park
arts and culture,heho,ia,herbert hoover national historic site
arts and culture,hobe,al,horseshoe bend national military park
arts and culture,hocu,oh,hopewell culture national historical park
arts and culture,hofu,pa,hopewell furnace national historic site
arts and culture,home,ne,homestead national historical park
arts and culture,hutr,az,hubbell trading post national historic site
arts and culture,indu,in,indiana dunes national park
arts and culture,inup,ak,inupiat heritage center
arts and culture,isro,mi,isle royale national park
arts and culture,jazz,la,new orleans jazz national historical park
arts and culture,jela,la,jean lafitte national historical park and preserve
arts and culture,kaho,hi,kaloko-honokohau national historical park
arts and culture,keaq,dc,kenilworth park and aquatic gardens
arts and culture,klgo,ak,klondike gold rush national historical park
arts and culture,knri,nd,knife river indian villages national historic site
arts and culture,libo,in,lincoln boyhood national memorial
arts and culture,liho,il,lincoln home national historic site
arts and culture,loea,ny,lower east side tenement museum national historic site
arts and culture,long,ma,longfellow house washington's headquarters national historic site
arts and culture,lowe,ma,lowell national historical park
arts and culture,maac,me,maine acadian culture
arts and culture,mabi,vt,marsh - billings - rockefeller national historical park
arts and culture,mall,dc,**********national mall**********
arts and culture,malu,ga,"martin luther king, jr. national historical park"
arts and culture,mava,ny,martin van buren national historic site
arts and culture,moca,az,montezuma castle national monument
arts and culture,mocr,nc,moores creek national battlefield
arts and culture,morr,nj,morristown national historical park
arts and culture,nama,dc,national mall and memorial parks
arts and culture,nava,az,navajo national monument
arts and culture,nepe,"id,mt,or,wa",nez perce national historical park
arts and culture,neri,wv,new river gorge national park and preserve
arts and culture,npnh,ny,national parks of new york harbor
arts and culture,npsa,as,national park of american samoa
arts and culture,olsp,"az,ca,co,nv,nm,ut",old spanish national historic trail
arts and culture,paal,tx,palo alto battlefield national historical park
arts and culture,pagr,nj,paterson great falls national historical park
arts and culture,pais,tx,padre island national seashore
arts and culture,peco,nm,pecos national historical park
arts and culture,pefo,az,petrified forest national park
arts and culture,pevi,oh,perry's victory and international peace memorial
arts and culture,pipe,mn,pipestone national monument
arts and culture,pisp,az,pipe spring national monument
arts and culture,prsf,ca,presidio of san francisco
arts and culture,prwi,va,prince william forest park
arts and culture,puhe,hi,puukohola heiau national historic site
arts and culture,puho,hi,puuhonua o honaunau national historical park
arts and culture,redw,ca,redwood national and state parks
arts and culture,rira,mi,river raisin national battlefield park
arts and culture,rocr,dc,rock creek park
arts and culture,romo,co,rocky mountain national park
arts and culture,rowi,ri,roger williams national memorial
arts and culture,saan,tx,san antonio missions national historical park
arts and culture,safe,"co,ks,mo,nm,ok",santa fe national historic trail
arts and culture,safr,ca,san francisco maritime national historical park
arts and culture,saga,nh,saint-gaudens national historical park
arts and culture,sagu,az,saguaro national park
arts and culture,sahi,ny,sagamore hill national historic site
arts and culture,sajh,wa,san juan island national historical park
arts and culture,saju,pr,san juan national historic site
arts and culture,sapa,ny,saint paul's church national historic site
arts and culture,sara,ny,saratoga national historical park
arts and culture,scbl,ne,scotts bluff national monument
arts and culture,shil,"tn,ms",shiloh national military park
arts and culture,sitk,ak,sitka national historical park
