,Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
0,1,0,4960,ABLI,Abraham Lincoln Birthplace NHP,2007
1,2,0,5877,ABLI,Abraham Lincoln Birthplace NHP,2007
2,3,0,9868,ABLI,Abraham Lincoln Birthplace NHP,2007
3,4,0,17900,ABLI,Abraham Lincoln Birthplace NHP,2007
4,5,0,21277,ABLI,Abraham Lincoln Birthplace NHP,2007
5,6,0,29353,ABLI,Abraham Lincoln Birthplace NHP,2007
6,7,0,37586,ABLI,Abraham Lincoln Birthplace NHP,2007
7,8,0,18805,ABLI,Abraham Lincoln Birthplace NHP,2007
8,9,0,24115,ABLI,Abraham Lincoln Birthplace NHP,2007
9,10,0,16434,ABLI,Abraham Lincoln Birthplace NHP,2007
10,11,0,10223,ABLI,Abraham Lincoln Birthplace NHP,2007
11,12,0,6552,ABLI,Abraham Lincoln Birthplace NHP,2007
12,1,0,5829,ABLI,Abraham Lincoln Birthplace NHP,2008
13,2,0,6911,ABLI,Abraham Lincoln Birthplace NHP,2008
14,3,0,10720,ABLI,Abraham Lincoln Birthplace NHP,2008
15,4,0,17829,ABLI,Abraham Lincoln Birthplace NHP,2008
16,5,0,26295,ABLI,Abraham Lincoln Birthplace NHP,2008
17,6,0,33817,ABLI,Abraham Lincoln Birthplace NHP,2008
18,7,0,29225,ABLI,Abraham Lincoln Birthplace NHP,2008
19,8,0,22166,ABLI,Abraham Lincoln Birthplace NHP,2008
20,9,0,21765,ABLI,Abraham Lincoln Birthplace NHP,2008
21,10,0,13747,ABLI,Abraham Lincoln Birthplace NHP,2008
22,11,0,8013,ABLI,Abraham Lincoln Birthplace NHP,2008
23,12,0,4087,ABLI,Abraham Lincoln Birthplace NHP,2008
24,1,0,4199,ABLI,Abraham Lincoln Birthplace NHP,2009
25,2,0,7313,ABLI,Abraham Lincoln Birthplace NHP,2009
26,3,0,11576,ABLI,Abraham Lincoln Birthplace NHP,2009
27,4,0,23545,ABLI,Abraham Lincoln Birthplace NHP,2009
28,5,0,23776,ABLI,Abraham Lincoln Birthplace NHP,2009
29,6,0,34697,ABLI,Abraham Lincoln Birthplace NHP,2009
30,7,0,39696,ABLI,Abraham Lincoln Birthplace NHP,2009
31,8,0,27303,ABLI,Abraham Lincoln Birthplace NHP,2009
32,9,0,26285,ABLI,Abraham Lincoln Birthplace NHP,2009
33,10,0,11521,ABLI,Abraham Lincoln Birthplace NHP,2009
34,11,0,7148,ABLI,Abraham Lincoln Birthplace NHP,2009
35,12,0,4052,ABLI,Abraham Lincoln Birthplace NHP,2009
36,1,0,3878,ABLI,Abraham Lincoln Birthplace NHP,2010
37,2,0,5167,ABLI,Abraham Lincoln Birthplace NHP,2010
38,3,0,8054,ABLI,Abraham Lincoln Birthplace NHP,2010
39,4,0,18178,ABLI,Abraham Lincoln Birthplace NHP,2010
40,5,0,19290,ABLI,Abraham Lincoln Birthplace NHP,2010
41,6,0,24308,ABLI,Abraham Lincoln Birthplace NHP,2010
42,7,0,29269,ABLI,Abraham Lincoln Birthplace NHP,2010
43,8,0,21939,ABLI,Abraham Lincoln Birthplace NHP,2010
44,9,0,22223,ABLI,Abraham Lincoln Birthplace NHP,2010
45,10,0,14265,ABLI,Abraham Lincoln Birthplace NHP,2010
46,11,0,6467,ABLI,Abraham Lincoln Birthplace NHP,2010
47,12,0,4084,ABLI,Abraham Lincoln Birthplace NHP,2010
48,1,0,2643,ABLI,Abraham Lincoln Birthplace NHP,2011
49,2,0,3647,ABLI,Abraham Lincoln Birthplace NHP,2011
50,3,0,7925,ABLI,Abraham Lincoln Birthplace NHP,2011
51,4,0,19339,ABLI,Abraham Lincoln Birthplace NHP,2011
52,5,0,16958,ABLI,Abraham Lincoln Birthplace NHP,2011
53,6,0,21492,ABLI,Abraham Lincoln Birthplace NHP,2011
54,7,0,26221,ABLI,Abraham Lincoln Birthplace NHP,2011
55,8,0,20223,ABLI,Abraham Lincoln Birthplace NHP,2011
56,9,0,20568,ABLI,Abraham Lincoln Birthplace NHP,2011
57,10,0,12889,ABLI,Abraham Lincoln Birthplace NHP,2011
58,11,0,6757,ABLI,Abraham Lincoln Birthplace NHP,2011
59,12,0,4906,ABLI,Abraham Lincoln Birthplace NHP,2011
60,1,0,3772,ABLI,Abraham Lincoln Birthplace NHP,2012
61,2,0,4920,ABLI,Abraham Lincoln Birthplace NHP,2012
62,3,0,11844,ABLI,Abraham Lincoln Birthplace NHP,2012
63,4,0,16608,ABLI,Abraham Lincoln Birthplace NHP,2012
64,5,0,18076,ABLI,Abraham Lincoln Birthplace NHP,2012
65,6,0,26021,ABLI,Abraham Lincoln Birthplace NHP,2012
66,7,0,25608,ABLI,Abraham Lincoln Birthplace NHP,2012
67,8,0,20010,ABLI,Abraham Lincoln Birthplace NHP,2012
68,9,0,18888,ABLI,Abraham Lincoln Birthplace NHP,2012
69,10,0,12490,ABLI,Abraham Lincoln Birthplace NHP,2012
70,11,0,6536,ABLI,Abraham Lincoln Birthplace NHP,2012
71,12,0,4742,ABLI,Abraham Lincoln Birthplace NHP,2012
72,1,0,4063,ABLI,Abraham Lincoln Birthplace NHP,2013
73,2,0,3518,ABLI,Abraham Lincoln Birthplace NHP,2013
74,3,0,10482,ABLI,Abraham Lincoln Birthplace NHP,2013
75,4,0,12302,ABLI,Abraham Lincoln Birthplace NHP,2013
76,5,0,19672,ABLI,Abraham Lincoln Birthplace NHP,2013
77,6,0,25736,ABLI,Abraham Lincoln Birthplace NHP,2013
78,7,0,28815,ABLI,Abraham Lincoln Birthplace NHP,2013
79,8,0,21662,ABLI,Abraham Lincoln Birthplace NHP,2013
80,9,0,21228,ABLI,Abraham Lincoln Birthplace NHP,2013
81,10,0,3930,ABLI,Abraham Lincoln Birthplace NHP,2013
82,11,0,8544,ABLI,Abraham Lincoln Birthplace NHP,2013
83,12,0,3976,ABLI,Abraham Lincoln Birthplace NHP,2013
84,1,0,2954,ABLI,Abraham Lincoln Birthplace NHP,2014
85,2,0,4645,ABLI,Abraham Lincoln Birthplace NHP,2014
86,3,0,9564,ABLI,Abraham Lincoln Birthplace NHP,2014
